                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.96315,                0.48543,                 1.2442,                0.96435,                0.92607,                0.96125,                 0.7949,                0.87916,                0.38439,                 1.1327,              0.0011948,              0.0011948,              0.0011948
                     64,                0.94998,                0.48874,                 1.2414,                 0.9724,                0.93847,                 0.9655,                0.79328,                0.89461,                0.37121,                  1.137,              0.0011816,              0.0011816,              0.0011816
                     65,                0.94958,                0.48261,                 1.2389,                0.96737,                0.93714,                0.96601,                 0.7903,                0.88136,                 0.3739,                 1.1259,              0.0011684,              0.0011684,              0.0011684
                     66,                0.94705,                0.48804,                 1.2361,                0.97461,                0.93894,                0.96785,                0.80371,                0.83982,                0.36302,                 1.1099,              0.0011552,              0.0011552,              0.0011552
                     67,                0.94396,                 0.4769,                 1.2319,                0.96968,                0.93814,                 0.9683,                0.80122,                0.85891,                0.35501,                 1.1179,               0.001142,               0.001142,               0.001142
                     68,                 0.9456,                0.47353,                 1.2297,                0.97051,                0.93577,                0.96809,                0.79604,                0.86905,                0.35987,                 1.1188,              0.0011288,              0.0011288,              0.0011288
                     69,                0.92919,                0.46608,                 1.2205,                0.96902,                0.94552,                0.96701,                 0.8064,                0.84069,                0.35511,                 1.1074,              0.0011156,              0.0011156,              0.0011156
                     70,                0.92893,                0.46678,                 1.2277,                0.97524,                0.93655,                0.96723,                 0.8003,                0.87221,                0.36883,                 1.1223,              0.0011024,              0.0011024,              0.0011024
                     71,                0.93049,                0.46251,                 1.2235,                0.97128,                0.94223,                0.96896,                0.80636,                 0.8619,                0.35849,                 1.1129,              0.0010892,              0.0010892,              0.0010892
                     72,                0.93211,                0.47033,                 1.2197,                0.97526,                0.93744,                0.96733,                0.80039,                0.85346,                0.35489,                 1.1066,               0.001076,               0.001076,               0.001076
                     73,                 0.9104,                 0.4542,                 1.2111,                 0.9757,                0.94133,                0.96938,                0.80845,                0.85974,                0.35299,                  1.114,              0.0010628,              0.0010628,              0.0010628
