                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                 1.0198,                0.53547,                 1.0746,                0.96371,                 0.9129,                0.95645,                0.75744,                0.91657,                0.42693,                0.96648,              0.0012212,              0.0012212,              0.0012212
                     62,                 1.0075,                0.53693,                 1.0736,                0.96276,                0.91305,                0.95669,                0.75778,                0.92005,                0.42291,                0.96666,               0.001208,               0.001208,               0.001208
                     63,                 1.0201,                0.53788,                 1.0707,                 0.9633,                0.91122,                0.95967,                0.76991,                0.89793,                 0.4248,                0.95934,              0.0011948,              0.0011948,              0.0011948
                     64,                 1.0007,                0.53288,                  1.068,                0.95907,                0.91865,                0.95842,                0.77085,                0.89364,                0.42075,                0.96309,              0.0011816,              0.0011816,              0.0011816
                     65,                 1.0044,                0.53437,                 1.0709,                0.96253,                0.92188,                0.96051,                0.77428,                 0.8928,                0.41521,                0.95794,              0.0011684,              0.0011684,              0.0011684
                     66,                0.99893,                 0.5289,                 1.0692,                0.96415,                0.92817,                0.96104,                0.77205,                0.89306,                0.41133,                0.95865,              0.0011552,              0.0011552,              0.0011552
                     67,                 1.0027,                0.52771,                 1.0715,                0.96369,                0.92149,                0.95648,                0.77552,                0.88064,                0.41183,                0.95583,               0.001142,               0.001142,               0.001142
                     68,                  0.996,                0.52965,                 1.0642,                0.96488,                0.92096,                0.95943,                0.76999,                0.90464,                0.41197,                0.96059,              0.0011288,              0.0011288,              0.0011288
                     69,                0.99128,                0.51803,                  1.064,                0.96727,                0.92517,                0.95941,                0.77712,                0.89475,                0.40617,                0.95942,              0.0011156,              0.0011156,              0.0011156
                     70,                0.98593,                0.51337,                 1.0598,                0.96921,                0.92517,                 0.9623,                0.78016,                0.89245,                0.40364,                0.95868,              0.0011024,              0.0011024,              0.0011024
                     71,                0.99048,                0.51411,                 1.0593,                0.96601,                0.92757,                0.96012,                0.77971,                0.88662,                0.40536,                0.95691,              0.0010892,              0.0010892,              0.0010892
                     72,                0.99835,                0.52559,                 1.0679,                0.96543,                0.92757,                0.96064,                0.77408,                0.88432,                0.40567,                0.95652,               0.001076,               0.001076,               0.001076
                     73,                0.97047,                0.50524,                 1.0525,                 0.9775,                0.91978,                 0.9626,                 0.7828,                0.88677,                0.39468,                0.95351,              0.0010628,              0.0010628,              0.0010628
                     74,                0.97893,                0.51677,                  1.058,                0.96145,                0.92936,                0.96194,                0.78584,                0.86324,                 0.4067,                0.94878,              0.0010496,              0.0010496,              0.0010496
                     75,                0.95548,                0.49759,                 1.0491,                0.96541,                0.92846,                0.96218,                0.78207,                0.88398,                0.40127,                0.95317,              0.0010364,              0.0010364,              0.0010364
                     76,                0.95537,                0.50157,                 1.0447,                0.96308,                0.92918,                0.96314,                0.79017,                0.86707,                0.39654,                0.94963,              0.0010232,              0.0010232,              0.0010232
                     77,                 0.9562,                 0.4917,                 1.0426,                0.96557,                0.92966,                0.96313,                 0.7913,                0.86488,                0.39238,                0.94955,                0.00101,                0.00101,                0.00101
                     78,                0.95161,                0.50112,                 1.0482,                0.96624,                0.93146,                0.96501,                0.78871,                0.88035,                0.39994,                0.94947,              0.0009968,              0.0009968,              0.0009968
                     79,                0.96034,                 0.4974,                 1.0492,                0.96728,                 0.9291,                0.96183,                 0.7938,                0.87038,                0.39298,                0.94985,              0.0009836,              0.0009836,              0.0009836
                     80,                0.95242,                0.49315,                 1.0422,                0.97073,                0.93385,                0.96389,                0.79156,                0.87394,                0.39342,                 0.9514,              0.0009704,              0.0009704,              0.0009704
                     81,                0.94761,                0.49788,                 1.0437,                0.96917,                0.93146,                0.96574,                0.78534,                0.89205,                0.39719,                0.95007,              0.0009572,              0.0009572,              0.0009572
                     82,                0.94334,                 0.4916,                 1.0405,                0.96851,                0.92965,                0.96662,                0.80254,                0.85035,                0.38858,                0.94106,               0.000944,               0.000944,               0.000944
                     83,                0.95597,                0.49336,                 1.0455,                0.97185,                0.93005,                0.96567,                0.79267,                 0.8588,                0.39015,                0.94225,              0.0009308,              0.0009308,              0.0009308
                     84,                0.94343,                0.49316,                  1.037,                0.96308,                0.92917,                0.96445,                0.80223,                0.85039,                0.38751,                 0.9415,              0.0009176,              0.0009176,              0.0009176
                     85,                0.94244,                0.48819,                  1.039,                0.96765,                0.93098,                0.96771,                0.79872,                0.84457,                 0.3832,                0.93889,              0.0009044,              0.0009044,              0.0009044
                     86,                0.94447,                0.49214,                 1.0448,                0.96871,                0.93236,                0.96679,                 0.7972,                0.86778,                0.38883,                0.94468,              0.0008912,              0.0008912,              0.0008912
                     87,                0.93726,                0.48774,                 1.0407,                0.97302,                0.92876,                0.96523,                0.79347,                0.88414,                0.39086,                0.94367,               0.000878,               0.000878,               0.000878
                     88,                0.92943,                0.48226,                 1.0316,                0.96708,                0.93385,                0.96278,                0.79299,                0.85285,                0.38568,                0.94098,              0.0008648,              0.0008648,              0.0008648
                     89,                0.91625,                0.47188,                 1.0274,                 0.9659,                0.93252,                0.96486,                0.80126,                0.84209,                0.38016,                0.93955,              0.0008516,              0.0008516,              0.0008516
                     90,                0.92197,                 0.4774,                 1.0303,                0.97032,                0.93265,                0.96597,                0.80781,                0.83341,                0.38175,                0.93477,              0.0008384,              0.0008384,              0.0008384
                     91,                 0.9268,                0.47774,                 1.0275,                0.96656,                0.93436,                0.96679,                0.80498,                0.83204,                0.37582,                0.93383,              0.0008252,              0.0008252,              0.0008252
