                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                 1.2704,                 0.6987,                  1.427,                0.96181,                 0.8955,                0.95413,                 0.6462,                 1.2558,                0.52244,                 1.3826,               0.006634,               0.006634,               0.006634
                     54,                 1.2744,                0.70702,                 1.4147,                0.96211,                0.91001,                0.95968,                0.65478,                 1.2463,                0.51842,                 1.3469,               0.006568,               0.006568,               0.006568
                     55,                 1.2787,                0.71027,                  1.421,                0.96508,                0.92252,                0.96215,                0.65092,                 1.2505,                0.50864,                 1.3511,               0.006502,               0.006502,               0.006502
                     56,                 1.2694,                0.72146,                 1.4136,                0.96542,                0.93195,                 0.9657,                0.65988,                 1.2208,                0.49816,                 1.3257,               0.006436,               0.006436,               0.006436
                     57,                 1.2521,                0.68819,                 1.4081,                0.95575,                0.90917,                0.95969,                0.65685,                 1.2129,                0.50684,                  1.355,                0.00637,                0.00637,                0.00637
                     58,                 1.2624,                0.69442,                 1.4324,                0.97178,                0.91001,                0.96374,                 0.6594,                 1.1941,                0.50495,                 1.3447,               0.006304,               0.006304,               0.006304
                     59,                 1.2575,                 0.6811,                 1.4083,                0.94724,                0.93808,                0.96841,                0.65361,                 1.2405,                0.49361,                 1.3479,               0.006238,               0.006238,               0.006238
                     60,                 1.2502,                0.69536,                 1.3945,                0.94351,                0.92888,                 0.9637,                0.66426,                  1.201,                0.50093,                  1.314,               0.006172,               0.006172,               0.006172
                     61,                 1.2568,                  0.692,                 1.4147,                0.94235,                0.92743,                0.96046,                0.65317,                 1.2228,                0.50254,                 1.3422,               0.006106,               0.006106,               0.006106
                     62,                 1.2403,                0.66601,                 1.3987,                0.94591,                0.91365,                0.95741,                0.66141,                 1.2219,                0.49396,                 1.3435,                0.00604,                0.00604,                0.00604
                     63,                 1.2439,                0.68043,                 1.3986,                0.95758,                0.90711,                0.95775,                0.66026,                 1.2062,                0.49444,                 1.3185,               0.005974,               0.005974,               0.005974
                     64,                 1.2432,                0.68677,                  1.417,                0.96507,                0.92241,                0.96404,                0.66135,                 1.2021,                0.49157,                  1.339,               0.005908,               0.005908,               0.005908
                     65,                 1.2392,                 0.6934,                 1.4281,                0.96674,                0.92308,                0.96819,                0.66332,                 1.2122,                0.49389,                  1.364,               0.005842,               0.005842,               0.005842
                     66,                 1.2277,                0.65414,                 1.4073,                0.96923,                0.91727,                0.96452,                0.66528,                 1.2185,                0.49326,                  1.362,               0.005776,               0.005776,               0.005776
                     67,                 1.2132,                 0.6467,                 1.3731,                0.96788,                0.91855,                0.96412,                0.66211,                 1.2157,                0.47783,                 1.3414,                0.00571,                0.00571,                0.00571
                     68,                 1.2133,                 0.6387,                 1.3791,                0.96215,                0.92227,                0.96756,                0.66616,                 1.2058,                0.48349,                 1.3326,               0.005644,               0.005644,               0.005644
